name,id
Brazil,76
Burundi,108
China,156
Colombia,170
Costa Rica,188
Cote d?Ivoire,384
Ecuador,218
El Salvador,222
Ethiopia,231
Guatemala,320
Haiti,332
Honduras,340
India,356
Indonesia,360
Japan,392
Kenya,404
Laos,418
Malawi,454
Mauritius,480
Mexico,484
Myanmar,104
Nicaragua,558
Panama,591
Papua New Guinea,598
Peru,604
Philippines,608
Rwanda,646
Taiwan,158
"Tanzania, United Republic Of",834
Thailand,764
Uganda,800
United States (Hawaii),840
United States (Puerto Rico),840
United States,840
Vietnam,704
Zambia,894
